Sample Name	Protocol REF	Parameter Value[Concentration measurement]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Provider name]	Parameter Value[Provider contact]	Parameter Value[Provider project ID]	Parameter Value[Provider sample ID]	Parameter Value[Provider QC status]	Parameter Value[Requestor contact]	Parameter Value[Requestor project]	Parameter Value[Requestor sample ID]	Parameter Value[Concentration measurement]	Parameter Value[Library source]	Parameter Value[Library strategy]	Parameter Value[Library selection]	Parameter Value[Library layout]	Parameter Value[Library kit]	Parameter Value[Target insert size]	Parameter Value[Wet-lab insert size]	Parameter Value[Barcode kit]	Parameter Value[Barcode kit catalogue ID]	Parameter Value[Barcode name]	Parameter Value[Barcode sequence]	Performer	Date	Extract Name	Characteristics[Folder name]	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Platform]	Parameter Value[Instrument model]	Parameter Value[Base quality encoding]	Parameter Value[Center name]	Parameter Value[Center contact]	Performer	Date	Raw Data File	Library Name
RR057i_00068	Nucleic acid extraction mRNA_seq				RR057i_00068					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00068	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00068
RR057i_00069	Nucleic acid extraction mRNA_seq				RR057i_00069					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00069	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00069
RR057i_00070	Nucleic acid extraction mRNA_seq				RR057i_00070					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00070	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00070
RR057i_00071	Nucleic acid extraction mRNA_seq				RR057i_00071					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00071	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00071
RR057i_00072	Nucleic acid extraction mRNA_seq				RR057i_00072					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00072	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00072
RR057i_00074	Nucleic acid extraction mRNA_seq				RR057i_00074					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00074	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00074
RR057i_00075	Nucleic acid extraction mRNA_seq				RR057i_00075					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00075	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00075
RR057i_00076	Nucleic acid extraction mRNA_seq				RR057i_00076					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00076	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00076
RR057i_00077	Nucleic acid extraction mRNA_seq				RR057i_00077					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00077	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00077
RR057i_00078	Nucleic acid extraction mRNA_seq				RR057i_00078					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00078	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00078
RR057i_00080	Nucleic acid extraction mRNA_seq				RR057i_00080					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00080	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00080
RR057i_00081	Nucleic acid extraction mRNA_seq				RR057i_00081					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00081	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00081
RR057i_00082	Nucleic acid extraction mRNA_seq				RR057i_00082					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00082	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00082
RR057i_00083	Nucleic acid extraction mRNA_seq				RR057i_00083					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00083	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00083
RR057i_00084	Nucleic acid extraction mRNA_seq				RR057i_00084					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00084	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00084
RR057i_00086	Nucleic acid extraction mRNA_seq				RR057i_00086					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00086	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00086
RR057i_00088	Nucleic acid extraction mRNA_seq				RR057i_00088					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00088	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00088
RR057i_00089	Nucleic acid extraction mRNA_seq				RR057i_00089					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00089	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00089
RR057i_00090	Nucleic acid extraction mRNA_seq				RR057i_00090					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00090	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00090
RR057i_00094	Nucleic acid extraction mRNA_seq				RR057i_00094					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00094	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00094
RR057i_00095	Nucleic acid extraction mRNA_seq				RR057i_00095					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00095	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00095
RR057i_00096	Nucleic acid extraction mRNA_seq				RR057i_00096					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00096	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00096
RR057i_00098	Nucleic acid extraction mRNA_seq				RR057i_00098					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00098	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00098
RR057i_00099	Nucleic acid extraction mRNA_seq				RR057i_00099					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00099	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00099
RR057i_00100	Nucleic acid extraction mRNA_seq				RR057i_00100					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00100	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00100
RR057i_00101	Nucleic acid extraction mRNA_seq				RR057i_00101					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00101	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00101
RR057i_00103	Nucleic acid extraction mRNA_seq				RR057i_00103					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00103	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00103
RR057i_00104	Nucleic acid extraction mRNA_seq				RR057i_00104					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00104	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00104
RR057i_00106	Nucleic acid extraction mRNA_seq				RR057i_00106					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00106	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00106
RR057i_00108	Nucleic acid extraction mRNA_seq				RR057i_00108					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00108	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00108
RR057i_00109	Nucleic acid extraction mRNA_seq				RR057i_00109					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00109	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00109
RR057i_00110	Nucleic acid extraction mRNA_seq				RR057i_00110					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00110	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00110
RR057i_00112	Nucleic acid extraction mRNA_seq				RR057i_00112					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00112	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00112
RR057i_00114	Nucleic acid extraction mRNA_seq				RR057i_00114					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00114	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00114
RR057i_00115	Nucleic acid extraction mRNA_seq				RR057i_00115					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00115	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00115
RR057i_00116	Nucleic acid extraction mRNA_seq				RR057i_00116					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00116	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00116
RR057i_00117	Nucleic acid extraction mRNA_seq				RR057i_00117					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00117	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00117
RR057i_00118	Nucleic acid extraction mRNA_seq				RR057i_00118					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00118	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00118
RR057i_00119	Nucleic acid extraction mRNA_seq				RR057i_00119					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00119	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00119
RR057i_00120	Nucleic acid extraction mRNA_seq				RR057i_00120					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00120	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00120
RR057i_00121	Nucleic acid extraction mRNA_seq				RR057i_00121					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00121	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00121
RR057i_00122	Nucleic acid extraction mRNA_seq				RR057i_00122					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00122	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00122
RR057i_00123	Nucleic acid extraction mRNA_seq				RR057i_00123					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00123	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00123
RR057i_00131	Nucleic acid extraction mRNA_seq				RR057i_00131					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00131	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00131
RR057i_00132	Nucleic acid extraction mRNA_seq				RR057i_00132					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00132	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00132
RR057i_00133	Nucleic acid extraction mRNA_seq				RR057i_00133					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00133	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00133
RR057i_00134	Nucleic acid extraction mRNA_seq				RR057i_00134					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00134	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00134
RR057i_00135	Nucleic acid extraction mRNA_seq				RR057i_00135					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00135	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00135
RR057i_00136	Nucleic acid extraction mRNA_seq				RR057i_00136					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00136	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00136
RR057i_00137	Nucleic acid extraction mRNA_seq				RR057i_00137					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00137	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00137
RR057i_00138	Nucleic acid extraction mRNA_seq				RR057i_00138					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00138	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00138
RR057i_00139	Nucleic acid extraction mRNA_seq				RR057i_00139					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00139	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00139
RR057i_00141	Nucleic acid extraction mRNA_seq				RR057i_00141					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00141	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00141
RR057i_00145	Nucleic acid extraction mRNA_seq				RR057i_00145					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00145	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00145
RR057i_00147	Nucleic acid extraction mRNA_seq				RR057i_00147					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00147	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00147
RR057i_00149	Nucleic acid extraction mRNA_seq				RR057i_00149					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00149	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00149
RR057i_00151	Nucleic acid extraction mRNA_seq				RR057i_00151					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00151	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00151
RR057i_00154	Nucleic acid extraction mRNA_seq				RR057i_00154					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00154	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00154
RR057i_00156	Nucleic acid extraction mRNA_seq				RR057i_00156					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00156	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00156
RR057i_00157	Nucleic acid extraction mRNA_seq				RR057i_00157					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00157	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00157
RR057i_00158	Nucleic acid extraction mRNA_seq				RR057i_00158					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00158	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00158
RR057i_00163	Nucleic acid extraction mRNA_seq				RR057i_00163					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00163	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00163
RR057i_00165	Nucleic acid extraction mRNA_seq				RR057i_00165					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00165	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00165
RR057i_00167	Nucleic acid extraction mRNA_seq				RR057i_00167					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00167	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00167
RR057i_00169	Nucleic acid extraction mRNA_seq				RR057i_00169					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00169	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00169
RR057i_00171	Nucleic acid extraction mRNA_seq				RR057i_00171					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00171	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00171
RR057i_00172	Nucleic acid extraction mRNA_seq				RR057i_00172					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00172	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00172
RR057i_00173	Nucleic acid extraction mRNA_seq				RR057i_00173					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00173	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00173
RR057i_00175	Nucleic acid extraction mRNA_seq				RR057i_00175					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00175	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00175
RR057i_00176	Nucleic acid extraction mRNA_seq				RR057i_00176					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00176	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00176
RR057i_00177	Nucleic acid extraction mRNA_seq				RR057i_00177					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00177	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00177
RR057i_00179	Nucleic acid extraction mRNA_seq				RR057i_00179					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00179	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00179
RR057i_00180	Nucleic acid extraction mRNA_seq				RR057i_00180					Library construction mRNA_seq										TRANSCRIPTOMIC	RNA-seq	PolyA	PAIRED	Illumina TruSeq Stranded mRNA									RR057i_00180	gamma					Nucleic acid sequencing mRNA_seq	ILLUMINA	Illumina NovaSeq 6000	Phred+33						RR057i_00180
